Timestamp,Location,Occupancy Level
2025-02-27 22:15:00,Chandler Lounge,37%
2025-02-27 22:15:00,San Luis Lounge,6%
2025-02-27 22:45:00,Lower Exercise Room,46%
2025-02-27 22:45:00,Upper Exercise Room,54%
2025-02-27 22:45:00,Track Exercise Room,71%
2025-02-27 22:45:00,Open Space,20%
2025-02-27 22:45:00,Chandler Lounge,47%
2025-02-27 22:45:00,San Luis Lounge,8%
2025-02-27 23:00:00,Lower Exercise Room,44%
2025-02-27 23:00:00,Upper Exercise Room,59%
2025-02-27 23:00:00,Track Exercise Room,58%
2025-02-27 23:00:00,Open Space,18%
2025-02-27 23:00:00,Chandler Lounge,70%
2025-02-27 23:00:00,San Luis Lounge,6%
2025-02-27 23:30:00,Lower Exercise Room,25%
2025-02-27 23:30:00,Upper Exercise Room,36%
2025-02-27 23:30:00,Track Exercise Room,44%
2025-02-27 23:30:00,Open Space,18%
2025-02-27 23:30:00,Chandler Lounge,73%
2025-02-27 23:30:00,San Luis Lounge,10%
2025-02-27 23:45:00,Lower Exercise Room,18%
2025-02-27 23:45:00,Upper Exercise Room,29%
2025-02-27 23:45:00,Track Exercise Room,40%
2025-02-27 23:45:00,Open Space,21%
2025-02-27 23:45:00,Chandler Lounge,77%
2025-02-27 23:45:00,San Luis Lounge,9%
2025-02-28 00:00:00,Lower Exercise Room,7%
2025-02-28 00:00:00,Upper Exercise Room,12%
2025-02-28 00:00:00,Track Exercise Room,22%
2025-02-28 00:00:00,Open Space,19%
2025-02-28 00:00:00,Chandler Lounge,70%
2025-02-28 00:00:00,San Luis Lounge,8%
2025-02-28 00:15:00,Lower Exercise Room,0%
2025-02-28 00:15:00,Upper Exercise Room,7%
2025-02-28 00:15:00,Track Exercise Room,7%
2025-02-28 00:15:00,Open Space,18%
2025-02-28 00:15:00,Chandler Lounge,70%
2025-02-28 00:15:00,San Luis Lounge,8%
2025-02-28 00:30:00,Lower Exercise Room,0%
2025-02-28 00:30:00,Upper Exercise Room,0%
2025-02-28 00:30:00,Track Exercise Room,7%
2025-02-28 00:30:00,Open Space,15%
2025-02-28 00:30:00,Chandler Lounge,60%
2025-02-28 00:30:00,San Luis Lounge,8%
2025-02-28 00:45:00,Lower Exercise Room,0%
2025-02-28 00:45:00,Upper Exercise Room,0%
2025-02-28 00:45:00,Track Exercise Room,7%
2025-02-28 00:45:00,Open Space,13%
2025-02-28 00:45:00,Chandler Lounge,53%
2025-02-28 00:45:00,San Luis Lounge,8%
2025-02-28 01:00:00,Lower Exercise Room,0%
2025-02-28 01:00:00,Upper Exercise Room,0%
2025-02-28 01:00:00,Track Exercise Room,4%
2025-02-28 01:00:00,Open Space,12%
2025-02-28 01:00:00,Chandler Lounge,53%
2025-02-28 01:00:00,San Luis Lounge,6%
2025-02-28 01:15:00,Lower Exercise Room,0%
2025-02-28 01:15:00,Upper Exercise Room,0%
2025-02-28 01:15:00,Track Exercise Room,4%
2025-02-28 01:15:00,Open Space,9%
2025-02-28 01:15:00,Chandler Lounge,63%
2025-02-28 01:15:00,San Luis Lounge,5%
2025-02-28 01:30:00,Lower Exercise Room,0%
2025-02-28 01:30:00,Upper Exercise Room,0%
2025-02-28 01:30:00,Track Exercise Room,2%
2025-02-28 01:30:00,Open Space,7%
2025-02-28 01:30:00,Chandler Lounge,50%
2025-02-28 01:30:00,San Luis Lounge,6%
2025-02-28 01:45:00,Lower Exercise Room,0%
2025-02-28 01:45:00,Upper Exercise Room,0%
2025-02-28 01:45:00,Track Exercise Room,4%
2025-02-28 01:45:00,Open Space,7%
2025-02-28 01:45:00,Chandler Lounge,40%
2025-02-28 01:45:00,San Luis Lounge,5%
2025-02-28 02:00:00,Lower Exercise Room,0%
2025-02-28 02:00:00,Upper Exercise Room,0%
2025-02-28 02:00:00,Track Exercise Room,4%
2025-02-28 02:00:00,Open Space,6%
2025-02-28 02:00:00,Chandler Lounge,13%
2025-02-28 02:00:00,San Luis Lounge,4%
2025-02-28 02:15:00,Lower Exercise Room,0%
2025-02-28 02:15:00,Upper Exercise Room,0%
2025-02-28 02:15:00,Track Exercise Room,4%
2025-02-28 02:15:00,Open Space,5%
2025-02-28 02:15:00,Chandler Lounge,7%
2025-02-28 02:15:00,San Luis Lounge,4%
2025-02-28 02:30:00,Lower Exercise Room,0%
2025-02-28 02:30:00,Upper Exercise Room,1%
2025-02-28 02:30:00,Track Exercise Room,4%
2025-02-28 02:30:00,Open Space,4%
2025-02-28 02:30:00,Chandler Lounge,0%
2025-02-28 02:30:00,San Luis Lounge,1%
2025-02-28 02:45:00,Lower Exercise Room,0%
2025-02-28 02:45:00,Upper Exercise Room,1%
2025-02-28 02:45:00,Track Exercise Room,4%
2025-02-28 02:45:00,Open Space,1%
2025-02-28 02:45:00,Chandler Lounge,0%
2025-02-28 02:45:00,San Luis Lounge,1%
2025-02-28 03:15:00,Lower Exercise Room,1%
2025-02-28 03:15:00,Upper Exercise Room,0%
2025-02-28 03:15:00,Track Exercise Room,7%
2025-02-28 03:15:00,Open Space,1%
2025-02-28 03:15:00,Chandler Lounge,0%
2025-02-28 03:15:00,San Luis Lounge,3%
2025-02-28 03:30:00,Lower Exercise Room,0%
2025-02-28 03:30:00,Upper Exercise Room,0%
2025-02-28 03:30:00,Track Exercise Room,4%
2025-02-28 03:30:00,Open Space,1%
2025-02-28 03:30:00,Chandler Lounge,0%
2025-02-28 03:30:00,San Luis Lounge,3%
2025-02-28 03:45:00,Lower Exercise Room,0%
2025-02-28 03:45:00,Upper Exercise Room,0%
2025-02-28 03:45:00,Track Exercise Room,4%
2025-02-28 03:45:00,Open Space,1%
2025-02-28 03:45:00,Chandler Lounge,0%
2025-02-28 03:45:00,San Luis Lounge,3%
2025-02-28 04:00:00,Lower Exercise Room,0%
2025-02-28 04:00:00,Upper Exercise Room,0%
2025-02-28 04:00:00,Track Exercise Room,4%
2025-02-28 04:00:00,Open Space,1%
2025-02-28 04:00:00,Chandler Lounge,0%
