Timestamp,Location,Occupancy Level
2025-03-02 21:30:00,Open Space,28%
2025-03-02 21:30:00,Chandler Lounge,27%
2025-03-02 21:30:00,San Luis Lounge,16%
2025-03-02 21:45:00,Lower Exercise Room,41%
2025-03-02 21:45:00,Upper Exercise Room,48%
2025-03-02 21:45:00,Track Exercise Room,64%
2025-03-02 21:45:00,Open Space,31%
2025-03-02 21:45:00,Chandler Lounge,33%
2025-03-02 21:45:00,San Luis Lounge,16%
2025-03-02 22:00:00,Lower Exercise Room,21%
2025-03-02 22:00:00,Upper Exercise Room,28%
2025-03-02 22:00:00,Track Exercise Room,36%
2025-03-02 22:00:00,Open Space,28%
2025-03-02 22:00:00,Chandler Lounge,33%
2025-03-02 22:00:00,San Luis Lounge,15%
2025-03-02 22:30:00,Lower Exercise Room,0%
2025-03-02 22:30:00,Upper Exercise Room,0%
2025-03-02 22:30:00,Track Exercise Room,7%
2025-03-02 22:30:00,Open Space,29%
2025-03-02 22:30:00,Chandler Lounge,17%
2025-03-02 22:30:00,San Luis Lounge,15%
2025-03-02 22:45:00,Lower Exercise Room,0%
2025-03-02 22:45:00,Upper Exercise Room,0%
2025-03-02 22:45:00,Track Exercise Room,4%
2025-03-02 22:45:00,Open Space,28%
2025-03-02 22:45:00,Chandler Lounge,33%
2025-03-02 22:45:00,San Luis Lounge,11%
2025-03-02 23:00:00,Lower Exercise Room,0%
2025-03-02 23:00:00,Upper Exercise Room,0%
2025-03-02 23:00:00,Track Exercise Room,2%
2025-03-02 23:00:00,Open Space,25%
2025-03-02 23:00:00,Chandler Lounge,33%
2025-03-02 23:00:00,San Luis Lounge,13%
2025-03-02 23:15:00,Lower Exercise Room,0%
2025-03-02 23:15:00,Upper Exercise Room,0%
2025-03-02 23:15:00,Track Exercise Room,4%
2025-03-02 23:15:00,Open Space,20%
2025-03-02 23:15:00,Chandler Lounge,30%
2025-03-02 23:15:00,San Luis Lounge,11%
2025-03-02 23:30:00,Lower Exercise Room,0%
2025-03-02 23:30:00,Upper Exercise Room,0%
2025-03-02 23:30:00,Track Exercise Room,4%
2025-03-02 23:30:00,Open Space,17%
2025-03-02 23:30:00,Chandler Lounge,33%
2025-03-02 23:30:00,San Luis Lounge,13%
2025-03-02 23:45:00,Lower Exercise Room,0%
2025-03-02 23:45:00,Upper Exercise Room,0%
2025-03-02 23:45:00,Track Exercise Room,4%
2025-03-02 23:45:00,Open Space,15%
2025-03-02 23:45:00,Chandler Lounge,30%
2025-03-02 23:45:00,San Luis Lounge,8%
2025-03-03 00:00:00,Lower Exercise Room,0%
2025-03-03 00:00:00,Upper Exercise Room,0%
2025-03-03 00:00:00,Track Exercise Room,4%
2025-03-03 00:00:00,Open Space,15%
2025-03-03 00:00:00,Chandler Lounge,27%
2025-03-03 00:00:00,San Luis Lounge,6%
2025-03-03 00:15:00,Lower Exercise Room,0%
2025-03-03 00:15:00,Upper Exercise Room,0%
2025-03-03 00:15:00,Track Exercise Room,4%
2025-03-03 00:15:00,Open Space,7%
2025-03-03 00:15:00,Chandler Lounge,10%
2025-03-03 00:15:00,San Luis Lounge,4%
2025-03-03 00:30:00,Lower Exercise Room,0%
2025-03-03 00:30:00,Upper Exercise Room,0%
2025-03-03 00:30:00,Track Exercise Room,4%
2025-03-03 00:30:00,Open Space,6%
2025-03-03 00:30:00,Chandler Lounge,10%
2025-03-03 00:30:00,San Luis Lounge,0%
2025-03-03 01:00:00,Lower Exercise Room,0%
2025-03-03 01:00:00,Upper Exercise Room,0%
2025-03-03 01:00:00,Track Exercise Room,4%
2025-03-03 01:00:00,Open Space,5%
2025-03-03 01:00:00,Chandler Lounge,3%
2025-03-03 01:00:00,San Luis Lounge,0%
2025-03-03 01:15:00,Lower Exercise Room,0%
2025-03-03 01:15:00,Upper Exercise Room,0%
2025-03-03 01:15:00,Track Exercise Room,4%
2025-03-03 01:15:00,Open Space,4%
2025-03-03 01:15:00,Chandler Lounge,0%
2025-03-03 01:15:00,San Luis Lounge,0%
2025-03-03 01:30:00,Lower Exercise Room,0%
2025-03-03 01:30:00,Upper Exercise Room,0%
2025-03-03 01:30:00,Track Exercise Room,2%
2025-03-03 01:30:00,Open Space,5%
2025-03-03 01:30:00,Chandler Lounge,3%
2025-03-03 01:30:00,San Luis Lounge,0%
2025-03-03 02:00:00,Lower Exercise Room,0%
2025-03-03 02:00:00,Upper Exercise Room,0%
2025-03-03 02:00:00,Track Exercise Room,4%
2025-03-03 02:00:00,Open Space,5%
2025-03-03 02:00:00,Chandler Lounge,3%
2025-03-03 02:00:00,San Luis Lounge,0%
2025-03-03 02:15:00,Lower Exercise Room,0%
2025-03-03 02:15:00,Upper Exercise Room,0%
2025-03-03 02:15:00,Track Exercise Room,4%
2025-03-03 02:15:00,Open Space,4%
2025-03-03 02:15:00,Chandler Lounge,0%
2025-03-03 02:15:00,San Luis Lounge,0%
2025-03-03 02:30:00,Lower Exercise Room,0%
2025-03-03 02:30:00,Upper Exercise Room,0%
2025-03-03 02:30:00,Track Exercise Room,4%
2025-03-03 02:30:00,Open Space,3%
2025-03-03 02:30:00,Chandler Lounge,3%
2025-03-03 02:30:00,San Luis Lounge,0%
2025-03-03 02:45:00,Lower Exercise Room,0%
2025-03-03 02:45:00,Upper Exercise Room,0%
2025-03-03 02:45:00,Track Exercise Room,4%
2025-03-03 02:45:00,Open Space,3%
2025-03-03 02:45:00,Chandler Lounge,3%
2025-03-03 02:45:00,San Luis Lounge,0%
2025-03-03 03:15:00,Lower Exercise Room,0%
2025-03-03 03:15:00,Upper Exercise Room,0%
2025-03-03 03:15:00,Track Exercise Room,4%
2025-03-03 03:15:00,Open Space,3%
2025-03-03 03:15:00,Chandler Lounge,3%
2025-03-03 03:15:00,San Luis Lounge,0%
2025-03-03 03:30:00,Lower Exercise Room,0%
2025-03-03 03:30:00,Upper Exercise Room,0%
2025-03-03 03:30:00,Track Exercise Room,4%
2025-03-03 03:30:00,Open Space,3%
2025-03-03 03:30:00,Chandler Lounge,3%
2025-03-03 03:30:00,San Luis Lounge,0%
2025-03-03 03:45:00,Lower Exercise Room,0%
2025-03-03 03:45:00,Upper Exercise Room,0%
2025-03-03 03:45:00,Track Exercise Room,4%
2025-03-03 03:45:00,Open Space,4%
2025-03-03 03:45:00,Chandler Lounge,3%
2025-03-03 03:45:00,San Luis Lounge,0%
2025-03-03 04:00:00,Lower Exercise Room,1%
2025-03-03 04:00:00,Upper Exercise Room,0%
2025-03-03 04:00:00,Track Exercise Room,4%
2025-03-03 04:00:00,Open Space,3%
2025-03-03 04:00:00,Chandler Lounge,3%
2025-03-03 04:00:00,San Luis Lounge,0%
2025-03-03 04:15:00,Lower Exercise Room,0%
2025-03-03 04:15:00,Upper Exercise Room,0%
2025-03-03 04:15:00,Track Exercise Room,7%
2025-03-03 04:15:00,Open Space,3%
2025-03-03 04:15:00,Chandler Lounge,3%
2025-03-03 04:15:00,San Luis Lounge,0%
2025-03-03 04:45:00,Lower Exercise Room,0%
2025-03-03 04:45:00,Upper Exercise Room,0%
2025-03-03 04:45:00,Track Exercise Room,4%
2025-03-03 04:45:00,Open Space,3%
2025-03-03 04:45:00,Chandler Lounge,3%
2025-03-03 04:45:00,San Luis Lounge,0%
2025-03-03 05:15:00,Lower Exercise Room,0%
2025-03-03 05:15:00,Upper Exercise Room,0%
2025-03-03 05:15:00,Track Exercise Room,4%
2025-03-03 05:15:00,Open Space,3%
2025-03-03 05:15:00,Chandler Lounge,3%
2025-03-03 05:15:00,San Luis Lounge,0%
2025-03-03 05:30:00,Lower Exercise Room,0%
2025-03-03 05:30:00,Upper Exercise Room,0%
2025-03-03 05:30:00,Track Exercise Room,7%
2025-03-03 05:30:00,Open Space,4%
2025-03-03 05:30:00,Chandler Lounge,3%
2025-03-03 05:30:00,San Luis Lounge,0%
2025-03-03 06:00:00,Lower Exercise Room,0%
2025-03-03 06:00:00,Upper Exercise Room,0%
2025-03-03 06:00:00,Track Exercise Room,7%
2025-03-03 06:00:00,Open Space,5%
2025-03-03 06:00:00,Chandler Lounge,0%
2025-03-03 06:00:00,San Luis Lounge,1%
2025-03-03 06:15:00,Lower Exercise Room,19%
2025-03-03 06:15:00,Upper Exercise Room,31%
2025-03-03 06:15:00,Track Exercise Room,29%
2025-03-03 06:15:00,Open Space,4%
2025-03-03 06:15:00,Chandler Lounge,0%
2025-03-03 06:15:00,San Luis Lounge,0%
2025-03-03 06:45:00,Lower Exercise Room,38%
2025-03-03 06:45:00,Upper Exercise Room,41%
2025-03-03 06:45:00,Track Exercise Room,76%
2025-03-03 06:45:00,Open Space,6%
2025-03-03 06:45:00,Chandler Lounge,0%
2025-03-03 06:45:00,San Luis Lounge,0%
2025-03-03 07:15:00,Lower Exercise Room,33%
2025-03-03 07:15:00,Upper Exercise Room,53%
2025-03-03 07:15:00,Track Exercise Room,76%
2025-03-03 07:15:00,Open Space,7%
2025-03-03 07:15:00,Chandler Lounge,0%
2025-03-03 07:15:00,San Luis Lounge,0%
2025-03-03 07:30:00,Lower Exercise Room,26%
2025-03-03 07:30:00,Upper Exercise Room,63%
2025-03-03 07:30:00,Track Exercise Room,67%
2025-03-03 07:30:00,Open Space,9%
2025-03-03 07:30:00,Chandler Lounge,3%
2025-03-03 07:30:00,San Luis Lounge,1%
2025-03-03 08:00:00,Lower Exercise Room,33%
2025-03-03 08:00:00,Upper Exercise Room,57%
2025-03-03 08:00:00,Track Exercise Room,60%
2025-03-03 08:00:00,Open Space,13%
2025-03-03 08:00:00,Chandler Lounge,13%
2025-03-03 08:00:00,San Luis Lounge,3%
2025-03-03 08:15:00,Lower Exercise Room,35%
2025-03-03 08:15:00,Upper Exercise Room,70%
2025-03-03 08:15:00,Track Exercise Room,58%
2025-03-03 08:15:00,Open Space,10%
2025-03-03 08:15:00,Chandler Lounge,13%
2025-03-03 08:15:00,San Luis Lounge,1%
2025-03-03 08:30:00,Lower Exercise Room,61%
2025-03-03 08:30:00,Upper Exercise Room,94%
2025-03-03 08:30:00,Track Exercise Room,73%
2025-03-03 08:30:00,Open Space,11%
2025-03-03 08:30:00,Chandler Lounge,17%
2025-03-03 08:30:00,San Luis Lounge,5%
2025-03-03 09:00:00,Lower Exercise Room,53%
2025-03-03 09:00:00,Upper Exercise Room,94%
2025-03-03 09:00:00,Track Exercise Room,62%
2025-03-03 09:00:00,Open Space,14%
2025-03-03 09:00:00,Chandler Lounge,20%
2025-03-03 09:00:00,San Luis Lounge,9%
2025-03-03 09:15:00,Lower Exercise Room,60%
2025-03-03 09:15:00,Upper Exercise Room,94%
2025-03-03 09:15:00,Track Exercise Room,64%
2025-03-03 09:15:00,Open Space,25%
2025-03-03 09:15:00,Chandler Lounge,27%
2025-03-03 09:15:00,San Luis Lounge,9%
2025-03-03 09:45:00,Lower Exercise Room,75%
2025-03-03 09:45:00,Upper Exercise Room,94%
2025-03-03 09:45:00,Track Exercise Room,84%
2025-03-03 09:45:00,Open Space,37%
2025-03-03 09:45:00,Chandler Lounge,40%
2025-03-03 09:45:00,San Luis Lounge,14%
2025-03-03 10:00:00,Lower Exercise Room,73%
2025-03-03 10:00:00,Upper Exercise Room,94%
2025-03-03 10:00:00,Track Exercise Room,94%
2025-03-03 10:00:00,Open Space,38%
2025-03-03 10:00:00,Chandler Lounge,33%
2025-03-03 10:00:00,San Luis Lounge,15%
2025-03-03 10:15:00,Lower Exercise Room,78%
2025-03-03 10:15:00,Upper Exercise Room,94%
2025-03-03 10:15:00,Track Exercise Room,82%
2025-03-03 10:15:00,Open Space,44%
2025-03-03 10:15:00,Chandler Lounge,43%
2025-03-03 10:15:00,San Luis Lounge,24%
2025-03-03 10:30:00,Lower Exercise Room,93%
2025-03-03 10:30:00,Upper Exercise Room,94%
2025-03-03 10:30:00,Track Exercise Room,94%
2025-03-03 10:30:00,Open Space,47%
2025-03-03 10:30:00,Chandler Lounge,57%
2025-03-03 10:30:00,San Luis Lounge,26%
2025-03-03 11:00:00,Lower Exercise Room,76%
2025-03-03 11:00:00,Upper Exercise Room,94%
2025-03-03 11:00:00,Track Exercise Room,94%
2025-03-03 11:00:00,Open Space,49%
2025-03-03 11:00:00,Chandler Lounge,63%
2025-03-03 11:00:00,San Luis Lounge,23%
2025-03-03 11:15:00,Lower Exercise Room,58%
2025-03-03 11:15:00,Upper Exercise Room,94%
2025-03-03 11:15:00,Track Exercise Room,94%
2025-03-03 11:15:00,Open Space,48%
2025-03-03 11:15:00,Chandler Lounge,67%
2025-03-03 11:15:00,San Luis Lounge,25%
2025-03-03 11:45:00,Lower Exercise Room,81%
2025-03-03 11:45:00,Upper Exercise Room,94%
2025-03-03 11:45:00,Track Exercise Room,94%
2025-03-03 11:45:00,Open Space,53%
2025-03-03 11:45:00,Chandler Lounge,60%
2025-03-03 11:45:00,San Luis Lounge,29%
2025-03-03 12:00:00,Lower Exercise Room,78%
2025-03-03 12:00:00,Upper Exercise Room,94%
2025-03-03 12:00:00,Track Exercise Room,84%
2025-03-03 12:00:00,Open Space,56%
2025-03-03 12:00:00,Chandler Lounge,60%
2025-03-03 12:00:00,San Luis Lounge,25%
2025-03-03 12:15:00,Lower Exercise Room,73%
2025-03-03 12:15:00,Upper Exercise Room,94%
2025-03-03 12:15:00,Track Exercise Room,94%
2025-03-03 12:15:00,Open Space,49%
2025-03-03 12:15:00,Chandler Lounge,57%
2025-03-03 12:15:00,San Luis Lounge,28%
2025-03-03 12:30:00,Lower Exercise Room,85%
2025-03-03 12:30:00,Upper Exercise Room,94%
2025-03-03 12:30:00,Track Exercise Room,94%
2025-03-03 12:30:00,Open Space,52%
2025-03-03 12:30:00,Chandler Lounge,63%
2025-03-03 12:30:00,San Luis Lounge,30%
2025-03-03 12:45:00,Lower Exercise Room,73%
2025-03-03 12:45:00,Upper Exercise Room,94%
2025-03-03 12:45:00,Track Exercise Room,94%
2025-03-03 12:45:00,Open Space,50%
2025-03-03 12:45:00,Chandler Lounge,60%
2025-03-03 12:45:00,San Luis Lounge,26%
2025-03-03 13:00:00,Lower Exercise Room,69%
2025-03-03 13:00:00,Upper Exercise Room,94%
2025-03-03 13:00:00,Track Exercise Room,94%
2025-03-03 13:00:00,Open Space,53%
2025-03-03 13:00:00,Chandler Lounge,50%
2025-03-03 13:00:00,San Luis Lounge,29%
2025-03-03 13:15:00,Lower Exercise Room,55%
2025-03-03 13:15:00,Upper Exercise Room,94%
2025-03-03 13:15:00,Track Exercise Room,94%
2025-03-03 13:15:00,Open Space,48%
2025-03-03 13:15:00,Chandler Lounge,57%
2025-03-03 13:15:00,San Luis Lounge,29%
2025-03-03 13:45:00,Lower Exercise Room,56%
2025-03-03 13:45:00,Upper Exercise Room,94%
2025-03-03 13:45:00,Track Exercise Room,94%
2025-03-03 13:45:00,Open Space,52%
2025-03-03 13:45:00,Chandler Lounge,57%
2025-03-03 13:45:00,San Luis Lounge,33%
2025-03-03 14:00:00,Lower Exercise Room,54%
2025-03-03 14:00:00,Upper Exercise Room,92%
2025-03-03 14:00:00,Track Exercise Room,94%
2025-03-03 14:00:00,Open Space,50%
2025-03-03 14:00:00,Chandler Lounge,60%
2025-03-03 14:00:00,San Luis Lounge,23%
2025-03-03 14:15:00,Lower Exercise Room,55%
2025-03-03 14:15:00,Upper Exercise Room,94%
2025-03-03 14:15:00,Track Exercise Room,87%
2025-03-03 14:15:00,Open Space,47%
2025-03-03 14:15:00,Chandler Lounge,57%
2025-03-03 14:15:00,San Luis Lounge,21%
2025-03-03 14:30:00,Lower Exercise Room,64%
2025-03-03 14:30:00,Upper Exercise Room,94%
2025-03-03 14:30:00,Track Exercise Room,94%
2025-03-03 14:30:00,Open Space,52%
2025-03-03 14:30:00,Chandler Lounge,63%
2025-03-03 14:30:00,San Luis Lounge,29%
2025-03-03 14:45:00,Lower Exercise Room,74%
2025-03-03 14:45:00,Upper Exercise Room,94%
2025-03-03 14:45:00,Track Exercise Room,94%
2025-03-03 14:45:00,Open Space,53%
2025-03-03 14:45:00,Chandler Lounge,63%
2025-03-03 14:45:00,San Luis Lounge,30%
2025-03-03 15:00:00,Lower Exercise Room,62%
2025-03-03 15:00:00,Upper Exercise Room,94%
2025-03-03 15:00:00,Track Exercise Room,94%
2025-03-03 15:00:00,Open Space,54%
2025-03-03 15:00:00,Chandler Lounge,63%
2025-03-03 15:00:00,San Luis Lounge,29%
2025-03-03 15:15:00,Lower Exercise Room,59%
2025-03-03 15:15:00,Upper Exercise Room,94%
2025-03-03 15:15:00,Track Exercise Room,94%
2025-03-03 15:15:00,Open Space,53%
2025-03-03 15:15:00,Chandler Lounge,73%
2025-03-03 15:15:00,San Luis Lounge,31%
2025-03-03 15:30:00,Lower Exercise Room,75%
2025-03-03 15:30:00,Upper Exercise Room,94%
2025-03-03 15:30:00,Track Exercise Room,94%
2025-03-03 15:30:00,Open Space,53%
2025-03-03 15:30:00,Chandler Lounge,67%
2025-03-03 15:30:00,San Luis Lounge,30%
2025-03-03 15:45:00,Lower Exercise Room,71%
2025-03-03 15:45:00,Upper Exercise Room,94%
2025-03-03 15:45:00,Track Exercise Room,94%
2025-03-03 15:45:00,Open Space,53%
2025-03-03 15:45:00,Chandler Lounge,67%
2025-03-03 15:45:00,San Luis Lounge,26%
2025-03-03 16:00:00,Lower Exercise Room,74%
2025-03-03 16:00:00,Upper Exercise Room,94%
2025-03-03 16:00:00,Track Exercise Room,94%
2025-03-03 16:00:00,Open Space,56%
2025-03-03 16:00:00,Chandler Lounge,60%
2025-03-03 16:00:00,San Luis Lounge,23%
2025-03-03 16:15:00,Lower Exercise Room,64%
2025-03-03 16:15:00,Upper Exercise Room,94%
2025-03-03 16:15:00,Track Exercise Room,94%
2025-03-03 16:15:00,Open Space,52%
2025-03-03 16:15:00,Chandler Lounge,63%
2025-03-03 16:15:00,San Luis Lounge,24%
2025-03-03 16:30:00,Lower Exercise Room,84%
2025-03-03 16:30:00,Upper Exercise Room,94%
2025-03-03 16:30:00,Track Exercise Room,94%
2025-03-03 16:30:00,Open Space,50%
2025-03-03 16:30:00,Chandler Lounge,63%
2025-03-03 16:30:00,San Luis Lounge,25%
2025-03-03 16:45:00,Lower Exercise Room,87%
2025-03-03 16:45:00,Upper Exercise Room,94%
2025-03-03 16:45:00,Track Exercise Room,94%
2025-03-03 16:45:00,Open Space,46%
2025-03-03 16:45:00,Chandler Lounge,60%
2025-03-03 16:45:00,San Luis Lounge,24%
2025-03-03 17:00:00,Lower Exercise Room,76%
2025-03-03 17:00:00,Upper Exercise Room,94%
2025-03-03 17:00:00,Track Exercise Room,94%
2025-03-03 17:00:00,Open Space,50%
2025-03-03 17:00:00,Chandler Lounge,63%
2025-03-03 17:00:00,San Luis Lounge,25%
2025-03-03 17:15:00,Lower Exercise Room,73%
2025-03-03 17:15:00,Upper Exercise Room,94%
2025-03-03 17:15:00,Track Exercise Room,94%
2025-03-03 17:15:00,Open Space,49%
2025-03-03 17:15:00,Chandler Lounge,63%
2025-03-03 17:15:00,San Luis Lounge,24%
2025-03-03 17:30:00,Lower Exercise Room,76%
2025-03-03 17:30:00,Upper Exercise Room,94%
2025-03-03 17:30:00,Track Exercise Room,94%
2025-03-03 17:30:00,Open Space,47%
2025-03-03 17:30:00,Chandler Lounge,67%
2025-03-03 17:30:00,San Luis Lounge,25%
2025-03-03 17:45:00,Lower Exercise Room,62%
2025-03-03 17:45:00,Upper Exercise Room,94%
2025-03-03 17:45:00,Track Exercise Room,94%
2025-03-03 17:45:00,Open Space,41%
2025-03-03 17:45:00,Chandler Lounge,67%
2025-03-03 17:45:00,San Luis Lounge,24%
2025-03-03 18:30:00,Lower Exercise Room,94%
2025-03-03 18:30:00,Upper Exercise Room,94%
2025-03-03 18:30:00,Track Exercise Room,94%
2025-03-03 18:30:00,Open Space,41%
2025-03-03 18:30:00,Chandler Lounge,53%
2025-03-03 18:30:00,San Luis Lounge,18%
2025-03-03 18:45:00,Lower Exercise Room,89%
2025-03-03 18:45:00,Upper Exercise Room,94%
2025-03-03 18:45:00,Track Exercise Room,94%
2025-03-03 18:45:00,Open Space,38%
2025-03-03 18:45:00,Chandler Lounge,47%
2025-03-03 18:45:00,San Luis Lounge,19%
2025-03-03 19:00:00,Lower Exercise Room,82%
2025-03-03 19:00:00,Upper Exercise Room,94%
2025-03-03 19:00:00,Track Exercise Room,94%
2025-03-03 19:00:00,Open Space,37%
2025-03-03 19:00:00,Chandler Lounge,47%
2025-03-03 19:00:00,San Luis Lounge,19%
2025-03-03 19:15:00,Lower Exercise Room,72%
2025-03-03 19:15:00,Upper Exercise Room,94%
2025-03-03 19:15:00,Track Exercise Room,94%
2025-03-03 19:15:00,Open Space,35%
2025-03-03 19:15:00,Chandler Lounge,47%
2025-03-03 19:15:00,San Luis Lounge,20%
2025-03-03 19:30:00,Lower Exercise Room,71%
2025-03-03 19:30:00,Upper Exercise Room,94%
2025-03-03 19:30:00,Track Exercise Room,94%
2025-03-03 19:30:00,Open Space,34%
2025-03-03 19:30:00,Chandler Lounge,47%
2025-03-03 19:30:00,San Luis Lounge,23%
2025-03-03 20:00:00,Lower Exercise Room,71%
2025-03-03 20:00:00,Upper Exercise Room,94%
2025-03-03 20:00:00,Track Exercise Room,94%
2025-03-03 20:00:00,Open Space,38%
2025-03-03 20:00:00,Chandler Lounge,50%
2025-03-03 20:00:00,San Luis Lounge,18%
2025-03-03 20:30:00,Lower Exercise Room,84%
2025-03-03 20:30:00,Upper Exercise Room,94%
2025-03-03 20:30:00,Track Exercise Room,94%
2025-03-03 20:30:00,Open Space,34%
2025-03-03 20:30:00,Chandler Lounge,40%
2025-03-03 20:30:00,San Luis Lounge,16%
2025-03-03 20:45:00,Lower Exercise Room,88%
2025-03-03 20:45:00,Upper Exercise Room,94%
2025-03-03 20:45:00,Track Exercise Room,94%
2025-03-03 20:45:00,Open Space,28%
2025-03-03 20:45:00,Chandler Lounge,40%
2025-03-03 20:45:00,San Luis Lounge,16%
2025-03-03 21:00:00,Lower Exercise Room,94%
2025-03-03 21:00:00,Upper Exercise Room,94%
2025-03-03 21:00:00,Track Exercise Room,94%
2025-03-03 21:00:00,Open Space,28%
2025-03-03 21:00:00,Chandler Lounge,40%
2025-03-03 21:00:00,San Luis Lounge,21%
2025-03-03 22:00:00,Lower Exercise Room,88%
2025-03-03 22:00:00,Upper Exercise Room,90%
2025-03-03 22:00:00,Track Exercise Room,94%
2025-03-03 22:00:00,Open Space,26%
2025-03-03 22:00:00,Chandler Lounge,37%
2025-03-03 22:00:00,San Luis Lounge,18%
2025-03-03 22:30:00,Lower Exercise Room,59%
2025-03-03 22:30:00,Upper Exercise Room,87%
2025-03-03 22:30:00,Track Exercise Room,94%
2025-03-03 22:30:00,Open Space,24%
2025-03-03 22:30:00,Chandler Lounge,30%
2025-03-03 22:30:00,San Luis Lounge,16%
2025-03-03 22:45:00,Lower Exercise Room,64%
2025-03-03 22:45:00,Upper Exercise Room,79%
2025-03-03 22:45:00,Track Exercise Room,94%
2025-03-03 22:45:00,Open Space,20%
2025-03-03 22:45:00,Chandler Lounge,27%
2025-03-03 22:45:00,San Luis Lounge,11%
2025-03-03 23:00:00,Lower Exercise Room,52%
2025-03-03 23:00:00,Upper Exercise Room,80%
2025-03-03 23:00:00,Track Exercise Room,84%
2025-03-03 23:00:00,Open Space,16%
2025-03-03 23:00:00,Chandler Lounge,27%
2025-03-03 23:00:00,San Luis Lounge,11%
2025-03-03 23:30:00,Lower Exercise Room,45%
2025-03-03 23:30:00,Upper Exercise Room,57%
2025-03-03 23:30:00,Track Exercise Room,60%
2025-03-03 23:30:00,Open Space,15%
2025-03-03 23:30:00,Chandler Lounge,20%
2025-03-03 23:30:00,San Luis Lounge,9%
2025-03-03 23:45:00,Lower Exercise Room,26%
2025-03-03 23:45:00,Upper Exercise Room,34%
2025-03-03 23:45:00,Track Exercise Room,42%
2025-03-03 23:45:00,Open Space,14%
2025-03-03 23:45:00,Chandler Lounge,20%
2025-03-03 23:45:00,San Luis Lounge,6%
2025-03-04 00:00:00,Lower Exercise Room,12%
2025-03-04 00:00:00,Upper Exercise Room,20%
2025-03-04 00:00:00,Track Exercise Room,18%
2025-03-04 00:00:00,Open Space,14%
2025-03-04 00:00:00,Chandler Lounge,10%
2025-03-04 00:00:00,San Luis Lounge,6%
2025-03-04 00:15:00,Lower Exercise Room,1%
2025-03-04 00:15:00,Upper Exercise Room,0%
2025-03-04 00:15:00,Track Exercise Room,2%
2025-03-04 00:15:00,Open Space,10%
2025-03-04 00:15:00,Chandler Lounge,7%
2025-03-04 00:15:00,San Luis Lounge,1%
2025-03-04 00:30:00,Lower Exercise Room,0%
2025-03-04 00:30:00,Upper Exercise Room,0%
2025-03-04 00:30:00,Track Exercise Room,7%
2025-03-04 00:30:00,Open Space,9%
2025-03-04 00:30:00,Chandler Lounge,17%
2025-03-04 00:30:00,San Luis Lounge,0%
2025-03-04 00:45:00,Lower Exercise Room,0%
2025-03-04 00:45:00,Upper Exercise Room,0%
2025-03-04 00:45:00,Track Exercise Room,4%
2025-03-04 00:45:00,Open Space,9%
2025-03-04 00:45:00,Chandler Lounge,10%
2025-03-04 00:45:00,San Luis Lounge,0%
2025-03-04 01:00:00,Lower Exercise Room,0%
2025-03-04 01:00:00,Upper Exercise Room,0%
2025-03-04 01:00:00,Track Exercise Room,4%
2025-03-04 01:00:00,Open Space,9%
2025-03-04 01:00:00,Chandler Lounge,13%
2025-03-04 01:00:00,San Luis Lounge,0%
2025-03-04 01:15:00,Lower Exercise Room,0%
2025-03-04 01:15:00,Upper Exercise Room,0%
2025-03-04 01:15:00,Track Exercise Room,7%
2025-03-04 01:15:00,Open Space,7%
2025-03-04 01:15:00,Chandler Lounge,10%
2025-03-04 01:15:00,San Luis Lounge,0%
2025-03-04 01:30:00,Lower Exercise Room,0%
2025-03-04 01:30:00,Upper Exercise Room,0%
2025-03-04 01:30:00,Track Exercise Room,7%
2025-03-04 01:30:00,Open Space,7%
2025-03-04 01:30:00,Chandler Lounge,7%
2025-03-04 01:30:00,San Luis Lounge,0%
2025-03-04 02:15:00,Lower Exercise Room,0%
2025-03-04 02:15:00,Upper Exercise Room,0%
2025-03-04 02:15:00,Track Exercise Room,7%
2025-03-04 02:15:00,Open Space,4%
2025-03-04 02:15:00,Chandler Lounge,0%
2025-03-04 02:15:00,San Luis Lounge,1%
2025-03-04 02:30:00,Lower Exercise Room,0%
2025-03-04 02:30:00,Upper Exercise Room,0%
2025-03-04 02:30:00,Track Exercise Room,7%
2025-03-04 02:30:00,Open Space,4%
2025-03-04 02:30:00,Chandler Lounge,0%
2025-03-04 02:30:00,San Luis Lounge,0%
2025-03-04 02:45:00,Lower Exercise Room,0%
2025-03-04 02:45:00,Upper Exercise Room,0%
2025-03-04 02:45:00,Track Exercise Room,7%
2025-03-04 02:45:00,Open Space,1%
2025-03-04 02:45:00,Chandler Lounge,0%
2025-03-04 02:45:00,San Luis Lounge,0%
2025-03-04 03:00:00,Lower Exercise Room,0%
2025-03-04 03:00:00,Upper Exercise Room,1%
2025-03-04 03:00:00,Track Exercise Room,4%
2025-03-04 03:00:00,Open Space,2%
2025-03-04 03:00:00,Chandler Lounge,0%
2025-03-04 03:00:00,San Luis Lounge,0%
2025-03-04 03:15:00,Lower Exercise Room,0%
2025-03-04 03:15:00,Upper Exercise Room,0%
2025-03-04 03:15:00,Track Exercise Room,7%
2025-03-04 03:15:00,Open Space,1%
2025-03-04 03:15:00,Chandler Lounge,0%
2025-03-04 03:15:00,San Luis Lounge,1%
2025-03-04 03:45:00,Lower Exercise Room,0%
2025-03-04 03:45:00,Upper Exercise Room,0%
2025-03-04 03:45:00,Track Exercise Room,7%
2025-03-04 03:45:00,Open Space,1%
2025-03-04 03:45:00,Chandler Lounge,0%
2025-03-04 03:45:00,San Luis Lounge,0%
